interest,registration,vote_2016,vote_intention,vote_2020,ideo5,employment,foreign_born,gender,census_region,hispanic,race_ethnicity,household_income,education,state,congress_district,age,health_subsidies,medicare_for_all,age_group,vote_trump,vote_Biden,race
Most of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Very Liberal,Full-time employed,The United States,Male,West,Mexican,White,"$150,000 and over",Some college or associate degree,OR,OR04,49,Agree,Agree,45-64 year olds,1,0,White
Some of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Very Conservative,Full-time employed,The United States,Female,Midwest,Not Hispanic,White,"$45,000 to $54,999",Bachelor's degree or higher,MO,MO04,34,Agree,Not Sure,30-44 year olds,1,0,White
Most of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Liberal,Part-time employed,The United States,Male,Northeast,Not Hispanic,White,"$45,000 to $54,999",Bachelor's degree or higher,NJ,NJ12,43,Agree,Not Asked,30-44 year olds,0,1,White
Some of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Moderate,Full-time employed,The United States,Female,Northeast,Not Hispanic,White,"$35,000 to $44,999",Some college or associate degree,NY,NY17,55,Disagree,Disagree,45-64 year olds,0,1,White
Only now and then,Registered,Was not eligible to vote,"Yes, I will vote",Donald Trump,Liberal,Retired,The United States,Male,South,Not Hispanic,"Black, or African American","Less than $14,999",Didn't graduate from high school,TX,TX33,18,Disagree,Not Asked,18-29 year olds,1,0,Black
Only now and then,Not registered,"Did not vote, but was eligible","Yes, I will vote",Joe Biden,Not Sure,Homemaker,The United States,Female,Northeast,Other Hispanic,American Indian or Alaska Native,"Less than $14,999",Didn't graduate from high school,NY,NY13,29,Not sure,Not Asked,18-29 year olds,0,1,Native
Some of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Liberal,Part-time employed,The United States,Female,Northeast,Not Hispanic,White,"$150,000 and over",Some college or associate degree,MA,MA05,51,Agree,Disagree,45-64 year olds,1,0,White
Most of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Moderate,Full-time employed,The United States,Female,South,Not Hispanic,White,"$75,000 to $99,999",NA,SC,SC07,37,Agree,Not Asked,30-44 year olds,0,1,White
Some of the time,Registered,"Did not vote, but was eligible","Yes, I will vote",Joe Biden,Moderate,Homemaker,The United States,Female,South,Not Hispanic,White,"$45,000 to $54,999",Some college or associate degree,FL,FL04,55,Agree,Not Asked,45-64 year olds,0,1,White
Most of the time,Registered,Was not eligible to vote,"Yes, I will vote",Joe Biden,Very Liberal,Student,The United States,Female,Northeast,Not Hispanic,White,"$150,000 and over",High school graduate,NY,NY23,18,Agree,Not Asked,18-29 year olds,0,1,White
Some of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Moderate,Part-time employed,The United States,Female,South,Not Hispanic,White,"$55,000 to $74,999",Some college or associate degree,FL,FL11,70,Not sure,Not Asked,65 years and older,1,0,White
Most of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Moderate,Retired,The United States,Female,Northeast,Not Hispanic,White,NA,High school graduate,PA,PA16,74,Agree,Not Asked,65 years and older,0,1,White
Some of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Conservative,Retired,The United States,Male,West,Not Hispanic,White,"$100,000 to $149,999",Some college or associate degree,CA,CA26,71,Agree,Not Asked,65 years and older,1,0,White
Most of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Very Liberal,Full-time employed,The United States,Female,South,Other Hispanic,White,"$35,000 to $44,999",Bachelor's degree or higher,GA,GA14,29,Agree,Not Asked,18-29 year olds,0,1,White
Some of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Conservative,Student,The United States,Female,South,Not Hispanic,White,"$25,000 to $34,999",Some college or associate degree,AL,AL02,25,Not sure,Not Asked,18-29 year olds,1,0,White
Only now and then,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Conservative,Full-time employed,The United States,Female,South,Mexican,White,"$100,000 to $149,999",Bachelor's degree or higher,TX,TX06,40,Not sure,Disagree,30-44 year olds,1,0,White
Some of the time,Registered,Was not eligible to vote,Not sure,Donald Trump,Moderate,Student,The United States,Female,West,Mexican,White,"$150,000 and over",Some college or associate degree,CA,CA08,19,Not sure,Not Asked,18-29 year olds,1,0,White
Most of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Very Liberal,Full-time employed,The United States,Female,South,Not Hispanic,White,"$45,000 to $54,999",Bachelor's degree or higher,TX,TX26,21,Agree,Not Asked,18-29 year olds,1,0,White
Most of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Not Sure,Retired,The United States,Female,Midwest,Not Hispanic,White,NA,High school graduate,WI,WI07,73,Agree,Not Asked,65 years and older,0,1,White
Some of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Very Liberal,Full-time employed,The United States,Male,Northeast,Other Hispanic,White,"$150,000 and over",Bachelor's degree or higher,NY,NY05,41,Agree,Agree,30-44 year olds,1,0,White
Some of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Moderate,Full-time employed,The United States,Female,Northeast,Not Hispanic,White,"$35,000 to $44,999",Some college or associate degree,NY,NY17,55,Disagree,Not Asked,45-64 year olds,0,1,White
Only now and then,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Conservative,Part-time employed,The United States,Female,West,Not Hispanic,White,"$100,000 to $149,999",Some college or associate degree,CA,CA25,58,Disagree,Disagree,45-64 year olds,1,0,White
Most of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Very Liberal,Other:,The United States,Female,West,Mexican,Some other race,"Less than $14,999",Some college or associate degree,NM,NM02,48,Agree,Not Asked,45-64 year olds,0,1,Other
Some of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Very Liberal,Retired,The United States,Female,Midwest,Not Hispanic,White,"$25,000 to $34,999",High school graduate,IN,IN09,73,Agree,Not Asked,65 years and older,0,1,White
Some of the time,Registered,"Did not vote, but was eligible","Yes, I will vote",Donald Trump,Conservative,Full-time employed,The United States,Female,West,Not Hispanic,White,"$75,000 to $99,999",Bachelor's degree or higher,UT,UT02,29,Agree,Not Asked,18-29 year olds,1,0,White
Most of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Moderate,Full-time employed,The United States,Male,Midwest,Not Hispanic,White,"$150,000 and over",Bachelor's degree or higher,MO,MO05,60,Not sure,Not Asked,45-64 year olds,1,0,White
Most of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Liberal,Full-time employed,The United States,Female,Midwest,Not Hispanic,"Black, or African American","$75,000 to $99,999",Bachelor's degree or higher,IN,IN02,48,Agree,Not Asked,45-64 year olds,0,1,Black
Most of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Liberal,Retired,The United States,Female,West,Not Hispanic,White,NA,Bachelor's degree or higher,CA,CA27,64,Agree,Not Asked,45-64 year olds,0,1,White
Most of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Moderate,Retired,The United States,Female,Midwest,Not Hispanic,White,"$55,000 to $74,999",Bachelor's degree or higher,OH,,77,Agree,Not Asked,65 years and older,1,0,White
Most of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Conservative,Retired,The United States,Male,West,Not Hispanic,White,"$45,000 to $54,999",Some college or associate degree,CA,CA07,79,Disagree,Not Asked,65 years and older,1,0,White
Only now and then,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Conservative,Permanently disabled,The United States,Female,West,Other Hispanic,Some other race,"$15,000 to $24,999",Some college or associate degree,CA,CA13,51,Agree,Not Asked,45-64 year olds,0,1,Other
Some of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Not Sure,Full-time employed,The United States,Male,Midwest,Other Hispanic,White,"$35,000 to $44,999",Some college or associate degree,OH,OH16,57,Not sure,Not Asked,45-64 year olds,1,0,White
Some of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Conservative,Self-employed,The United States,Male,Midwest,Not Hispanic,White,"$25,000 to $34,999",Bachelor's degree or higher,IL,IL02,57,Disagree,Not Asked,45-64 year olds,1,0,White
Most of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Very Liberal,Full-time employed,The United States,Male,Northeast,Not Hispanic,White,"$150,000 and over",Bachelor's degree or higher,NY,NY07,40,Agree,Agree,30-44 year olds,1,0,White
Most of the time,Registered,"Did not vote, but was eligible","Yes, I will vote",Someone else,Not Sure,Full-time employed,The United States,Male,South,Mexican,Pacific Islander (Native Hawaiian),"$25,000 to $34,999",Some college or associate degree,TX,TX21,36,Not sure,Not Asked,30-44 year olds,0,0,Native
Most of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Conservative,Retired,The United States,Female,Northeast,Mexican,White,"$35,000 to $44,999",High school graduate,NY,NY13,70,Agree,Not Asked,65 years and older,1,0,White
Some of the time,Registered,Gary Johnson,"Yes, I will vote",Joe Biden,Very Liberal,Homemaker,The United States,Female,South,Not Hispanic,White,NA,Bachelor's degree or higher,KY,KY06,22,Agree,Not Asked,18-29 year olds,0,1,White
Most of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Very Liberal,Other:,The United States,Male,South,Other Hispanic,"Black, or African American","Less than $14,999",Didn't graduate from high school,FL,FL11,37,Agree,Not Asked,30-44 year olds,0,1,Black
Most of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Very Conservative,Unemployed or temporarily on layoff,The United States,Male,South,Not Hispanic,White,"Less than $14,999",High school graduate,TX,TX12,58,Agree,Not Asked,45-64 year olds,1,0,White
Only now and then,Registered,Was not eligible to vote,"Yes, I will vote",Someone else,Not Sure,Unemployed or temporarily on layoff,The United States,Female,South,Not Hispanic,"Black, or African American","Less than $14,999",Some college or associate degree,GA,GA10,21,Agree,Not Asked,18-29 year olds,0,0,Black
Some of the time,Not registered,"Did not vote, but was eligible",Not sure,I would not vote,Conservative,Student,The United States,Female,Northeast,Not Hispanic,White,"$15,000 to $24,999",Didn't graduate from high school,NY,NY11,26,Not sure,Not Asked,18-29 year olds,0,0,White
Some of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Moderate,Full-time employed,The United States,Female,Midwest,Not Hispanic,White,"$55,000 to $74,999",Some college or associate degree,NE,NE03,45,Agree,Not Asked,45-64 year olds,0,1,White
Most of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Very Conservative,Retired,The United States,Female,West,Not Hispanic,White,NA,Some college or associate degree,WA,WA04,71,Not sure,Disagree,65 years and older,1,0,White
Only now and then,Registered,"Did not vote, but was eligible","Yes, I will vote",I am not sure/don't know,Not Sure,Full-time employed,Another country,Female,West,Not Hispanic,Asian (Filipino),"$100,000 to $149,999",Bachelor's degree or higher,CA,CA06,47,Agree,Agree,45-64 year olds,0,0,Asian
Some of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Moderate,Self-employed,The United States,Female,West,Not Hispanic,White,"$35,000 to $44,999",Some college or associate degree,OR,OR04,65,Agree,Disagree,65 years and older,0,1,White
Most of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Liberal,Retired,The United States,Female,South,Not Hispanic,White,"$15,000 to $24,999",Some college or associate degree,NC,NC06,65,Agree,Not Asked,65 years and older,0,1,White
Only now and then,Registered,"Did not vote, but was eligible","Yes, I will vote",Joe Biden,Very Liberal,Permanently disabled,The United States,Male,West,Not Hispanic,White,"Less than $14,999",High school graduate,WA,WA09,52,Not sure,Agree,45-64 year olds,0,1,White
Most of the time,Registered,"Did not vote, but was eligible","No, I will not vote but I am eligible",I would not vote,Moderate,Unemployed or temporarily on layoff,The United States,Male,Midwest,Not Hispanic,"Black, or African American","$75,000 to $99,999",Some college or associate degree,IL,IL03,37,Agree,Agree,30-44 year olds,0,0,Black
Only now and then,Registered,"Did not vote, but was eligible","Yes, I will vote",Joe Biden,Moderate,Homemaker,The United States,Female,South,Not Hispanic,White,"$15,000 to $24,999",Some college or associate degree,FL,FL16,41,Agree,Not Asked,30-44 year olds,0,1,White
Most of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Very Liberal,Full-time employed,The United States,Male,South,Not Hispanic,White,"$150,000 and over",Bachelor's degree or higher,TX,TX30,40,Agree,Not Asked,30-44 year olds,1,0,White
Some of the time,Registered,"Did not vote, but was eligible","Yes, I will vote",Joe Biden,Moderate,Permanently disabled,The United States,Male,Midwest,Not Hispanic,White,"$15,000 to $24,999",High school graduate,KS,KS02,54,Agree,Not Asked,45-64 year olds,0,1,White
Most of the time,Registered,Hillary Clinton,"Yes, I will vote",Donald Trump,Conservative,Part-time employed,The United States,Female,West,Not Hispanic,White,"$55,000 to $74,999",Some college or associate degree,CA,CA48,29,Agree,Not Asked,18-29 year olds,1,0,White
Only now and then,Not registered,"Did not vote, but was eligible","No, I will not vote but I am eligible",Donald Trump,Moderate,Retired,The United States,Female,Midwest,Not Hispanic,White,NA,Bachelor's degree or higher,OH,OH04,60,Not sure,Agree,45-64 year olds,1,0,White
Some of the time,Not registered,Was not eligible to vote,"No, I am not eligible to vote",I would not vote,Moderate,Self-employed,Another country,Female,West,Not Hispanic,Asian (Asian Indian),"$55,000 to $74,999",Bachelor's degree or higher,AZ,AZ02,51,Agree,Not Asked,45-64 year olds,0,0,Asian
Only now and then,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Conservative,Part-time employed,The United States,Male,West,Not Hispanic,White,"Less than $14,999",High school graduate,WA,WA03,30,Agree,Disagree,30-44 year olds,1,0,White
Some of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Conservative,Homemaker,The United States,Female,West,Not Hispanic,White,"Less than $14,999",Some college or associate degree,AZ,AZ07,71,Not sure,Disagree,65 years and older,1,0,White
Only now and then,Registered,Was not eligible to vote,"Yes, I will vote",Someone else,Conservative,Full-time employed,The United States,Male,West,Not Hispanic,White,"$25,000 to $34,999",Some college or associate degree,CO,CO06,32,Agree,Not Asked,30-44 year olds,0,0,White
Most of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Very Conservative,Retired,The United States,Male,Northeast,Not Hispanic,White,"$75,000 to $99,999",Bachelor's degree or higher,NY,NY21,66,Not sure,Disagree,65 years and older,1,0,White
Some of the time,Not registered,Was not eligible to vote,"No, I am not eligible to vote",I am not sure/don't know,Moderate,Homemaker,Another country,Female,West,Not Hispanic,White,"$45,000 to $54,999",Bachelor's degree or higher,CA,CA23,61,Not sure,Not Asked,45-64 year olds,0,0,White
Some of the time,Not registered,Donald Trump,"Yes, I will vote",Donald Trump,Moderate,Full-time employed,The United States,Male,South,Not Hispanic,American Indian or Alaska Native,"$75,000 to $99,999",Bachelor's degree or higher,FL,FL21,40,Not sure,Not Asked,30-44 year olds,1,0,Native
Some of the time,Not registered,Hillary Clinton,Not sure,I am not sure/don't know,Not Sure,Full-time employed,The United States,Female,Midwest,Not Hispanic,White,"$35,000 to $44,999",Bachelor's degree or higher,MO,MO06,27,Not sure,Not Asked,18-29 year olds,0,0,White
Most of the time,Not registered,"Did not vote, but was eligible","Yes, I will vote",I am not sure/don't know,Not Sure,Full-time employed,The United States,Male,West,Not Hispanic,White,"$25,000 to $34,999",High school graduate,ID,ID02,36,Not sure,Not Sure,30-44 year olds,0,0,White
Most of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Moderate,Full-time employed,The United States,Male,South,Not Hispanic,American Indian or Alaska Native,"$25,000 to $34,999",Some college or associate degree,OK,OK02,45,Agree,Agree,45-64 year olds,0,1,Native
Some of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Liberal,Student,The United States,Male,South,Not Hispanic,White,"$45,000 to $54,999",Some college or associate degree,MD,MD05,22,Agree,Not Asked,18-29 year olds,0,1,White
Some of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Conservative,Full-time employed,The United States,Female,Midwest,Not Hispanic,White,"$100,000 to $149,999",Bachelor's degree or higher,OH,OH14,48,Agree,Not Sure,45-64 year olds,1,0,White
Only now and then,Not registered,"Did not vote, but was eligible","No, I will not vote but I am eligible",I would not vote,Not Sure,Homemaker,The United States,Female,West,Not Hispanic,White,"Less than $14,999",Some college or associate degree,MT,MT00,29,Agree,Agree,18-29 year olds,0,0,White
Hardly at all,Not registered,"Did not vote, but was eligible","No, I will not vote but I am eligible",I am not sure/don't know,Not Sure,Part-time employed,Another country,Female,Northeast,Not Hispanic,Asian (Chinese),"$45,000 to $54,999",Some college or associate degree,NY,NY06,52,Agree,Not Asked,45-64 year olds,0,0,Asian
Some of the time,Not registered,"Did not vote, but was eligible","Yes, I will vote",Donald Trump,Moderate,Self-employed,The United States,Female,South,Not Hispanic,Some other race,"Less than $14,999",High school graduate,SC,SC03,45,Agree,Not Asked,45-64 year olds,1,0,Other
Some of the time,Not registered,"Did not vote, but was eligible",Not sure,I would not vote,Not Sure,Unemployed or temporarily on layoff,The United States,Male,South,Mexican,"Black, or African American","$45,000 to $54,999",Some college or associate degree,TX,TX20,27,Agree,Agree,18-29 year olds,0,0,Black
Most of the time,Registered,Donald Trump,"Yes, I will vote",Joe Biden,Very Liberal,Full-time employed,The United States,Male,Midwest,Not Hispanic,White,"$100,000 to $149,999",Bachelor's degree or higher,WI,WI02,44,Agree,Not Asked,30-44 year olds,0,1,White
Only now and then,Registered,Was not eligible to vote,Not sure,Donald Trump,Moderate,Part-time employed,The United States,Male,South,Not Hispanic,White,"$100,000 to $149,999",Some college or associate degree,TX,TX06,20,Not sure,Not Sure,18-29 year olds,1,0,White
Some of the time,Registered,Hillary Clinton,Not sure,Joe Biden,Moderate,Self-employed,The United States,Female,South,Not Hispanic,White,"$45,000 to $54,999",Didn't graduate from high school,NC,NC13,26,Agree,Not Asked,18-29 year olds,0,1,White
Most of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Liberal,Full-time employed,The United States,Male,Midwest,Not Hispanic,White,"$45,000 to $54,999",Bachelor's degree or higher,IL,IL07,37,Agree,Agree,30-44 year olds,0,1,White
Most of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Liberal,Retired,The United States,Male,South,Not Hispanic,White,"$100,000 to $149,999",Some college or associate degree,TX,TX26,69,Agree,Not Asked,65 years and older,0,1,White
Most of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Moderate,Part-time employed,The United States,Female,Northeast,Not Hispanic,"Black, or African American","$25,000 to $34,999",Some college or associate degree,MA,MA08,58,Agree,Not Asked,45-64 year olds,0,1,Black
Most of the time,Registered,Donald Trump,"Yes, I will vote",Joe Biden,Moderate,Full-time employed,The United States,Male,South,Not Hispanic,White,"$100,000 to $149,999",Bachelor's degree or higher,VA,VA01,58,Agree,Agree,45-64 year olds,0,1,White
Most of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Conservative,Homemaker,The United States,Female,West,Not Hispanic,White,"$75,000 to $99,999",Some college or associate degree,NV,,39,Disagree,Not Asked,30-44 year olds,1,0,White
Most of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Moderate,Retired,The United States,Male,Northeast,Not Hispanic,White,"$100,000 to $149,999",Bachelor's degree or higher,NJ,NJ02,63,Agree,Not Asked,45-64 year olds,1,0,White
Most of the time,Not registered,"Did not vote, but was eligible",Not sure,Joe Biden,Liberal,Full-time employed,The United States,Female,West,Spanish,White,"$55,000 to $74,999",Some college or associate degree,CA,CA29,57,Agree,Not Asked,45-64 year olds,0,1,White
Most of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Moderate,Retired,The United States,Female,South,Not Hispanic,"Black, or African American","$15,000 to $24,999",High school graduate,DE,DE00,70,Agree,Disagree,65 years and older,0,1,Black
Most of the time,Registered,Donald Trump,"Yes, I will vote",I am not sure/don't know,Very Conservative,Part-time employed,The United States,Male,Northeast,Not Hispanic,White,"$25,000 to $34,999",Some college or associate degree,PA,PA05,67,Agree,Agree,65 years and older,0,0,White
Some of the time,Registered,"Did not vote, but was eligible",Not sure,I am not sure/don't know,Moderate,Full-time employed,The United States,Female,South,Venezuelan,Some other race,"$100,000 to $149,999",Bachelor's degree or higher,FL,FL25,29,Disagree,Disagree,18-29 year olds,0,0,Other
Most of the time,Registered,Don't recall,Not sure,Donald Trump,Very Conservative,Homemaker,The United States,Male,Midwest,Not Hispanic,White,"$100,000 to $149,999",Didn't graduate from high school,IN,,22,Agree,Not Asked,18-29 year olds,1,0,White
Most of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Liberal,Full-time employed,The United States,Female,West,Mexican,Some other race,"$35,000 to $44,999",Some college or associate degree,AZ,AZ06,22,Agree,Not Asked,18-29 year olds,0,1,Other
Hardly at all,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Liberal,Full-time employed,The United States,Male,South,Not Hispanic,"Black, or African American","Less than $14,999",Some college or associate degree,TX,TX35,36,Agree,Agree,30-44 year olds,0,1,Black
Most of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Conservative,Full-time employed,The United States,Male,Northeast,Not Hispanic,White,"$150,000 and over",Some college or associate degree,NY,NY04,62,Not sure,Not Asked,45-64 year olds,1,0,White
Hardly at all,Don't know,Was not eligible to vote,Not sure,I am not sure/don't know,Very Conservative,Unemployed or temporarily on layoff,The United States,Male,West,Not Hispanic,White,"Less than $14,999",Didn't graduate from high school,WA,WA06,34,Not sure,Agree,30-44 year olds,0,0,White
Some of the time,Registered,Hillary Clinton,"Yes, I will vote",Donald Trump,Liberal,Full-time employed,The United States,Male,Northeast,Mexican,White,"$15,000 to $24,999",Didn't graduate from high school,NY,NY26,40,Disagree,Not Asked,30-44 year olds,1,0,White
Hardly at all,Registered,Donald Trump,"Yes, I will vote",I am not sure/don't know,Conservative,Full-time employed,The United States,Male,South,Not Hispanic,White,"$150,000 and over",Bachelor's degree or higher,TN,TN01,40,Disagree,Not Asked,30-44 year olds,0,0,White
Only now and then,Registered,Someone else:,"Yes, I will vote",I am not sure/don't know,Very Liberal,Homemaker,The United States,Male,West,Not Hispanic,"Black, or African American","$150,000 and over",Some college or associate degree,CA,CA02,20,Agree,Not Asked,18-29 year olds,0,0,Black
Some of the time,Registered,"Did not vote, but was eligible","Yes, I will vote",Joe Biden,Liberal,Part-time employed,The United States,Male,West,Not Hispanic,White,"$15,000 to $24,999",Didn't graduate from high school,WA,WA06,25,Agree,Not Asked,18-29 year olds,0,1,White
Some of the time,Not registered,Donald Trump,"Yes, I will vote",I am not sure/don't know,Moderate,Full-time employed,The United States,Male,West,Not Hispanic,Some other race,"$45,000 to $54,999",Some college or associate degree,CA,CA52,25,Disagree,Not Asked,18-29 year olds,0,0,Other
Most of the time,Not registered,"Did not vote, but was eligible","No, I will not vote but I am eligible",Donald Trump,Conservative,Homemaker,The United States,Female,Midwest,Not Hispanic,White,"$15,000 to $24,999",Some college or associate degree,WI,WI08,46,Agree,Disagree,45-64 year olds,1,0,White
Most of the time,Registered,Donald Trump,"Yes, I will vote",Joe Biden,Moderate,Full-time employed,The United States,Male,West,Mexican,White,"$75,000 to $99,999",Some college or associate degree,AZ,,38,Disagree,Agree,30-44 year olds,0,1,White
Most of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Very Liberal,Full-time employed,The United States,Female,Midwest,Not Hispanic,White,"$55,000 to $74,999",Bachelor's degree or higher,MO,MO05,34,Agree,Not Asked,30-44 year olds,0,1,White
Most of the time,Registered,Was not eligible to vote,"Yes, I will vote",Joe Biden,Moderate,Full-time employed,Another country,Female,South,Colombian,White,"Less than $14,999",High school graduate,AL,AL05,23,Disagree,Not Asked,18-29 year olds,0,1,White
Most of the time,Registered,Was not eligible to vote,"No, I am not eligible to vote",I would not vote,NA,Full-time employed,The United States,Male,Midwest,Not Hispanic,White,"$35,000 to $44,999",Didn't graduate from high school,MO,MO02,30,Disagree,Not Asked,30-44 year olds,0,0,White
Hardly at all,Not registered,Was not eligible to vote,"No, I am not eligible to vote",I would not vote,Not Sure,Other:,The United States,Male,Midwest,Not Hispanic,White,"Less than $14,999",Some college or associate degree,OH,OH08,55,Agree,Not Asked,45-64 year olds,0,0,White
Some of the time,Not registered,"Did not vote, but was eligible","Yes, I will vote",Joe Biden,Very Liberal,Full-time employed,The United States,Female,West,Mexican,White,"$45,000 to $54,999",Bachelor's degree or higher,CA,CA51,46,Agree,Not Asked,45-64 year olds,0,1,White
Some of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Conservative,Full-time employed,The United States,Male,West,Mexican,"Black, or African American","$55,000 to $74,999",Bachelor's degree or higher,AZ,AZ05,55,Agree,Not Asked,45-64 year olds,1,0,Black
Most of the time,Not registered,"Did not vote, but was eligible","No, I will not vote but I am eligible",I would not vote,Moderate,Unemployed or temporarily on layoff,The United States,Male,West,Not Hispanic,White,"Less than $14,999",Some college or associate degree,CA,CA03,31,Agree,Not Asked,30-44 year olds,0,0,White
Only now and then,Registered,"Did not vote, but was eligible",Not sure,Donald Trump,Conservative,Self-employed,The United States,Female,South,Not Hispanic,White,"$25,000 to $34,999",Didn't graduate from high school,TX,TX06,50,Not sure,Not Asked,45-64 year olds,1,0,White
Most of the time,Registered,Was not eligible to vote,"Yes, I will vote",Joe Biden,Liberal,Student,Another country,Female,West,Mexican,White,"$25,000 to $34,999",High school graduate,CA,CA25,18,Not sure,Agree,18-29 year olds,0,1,White
Some of the time,Registered,"Did not vote, but was eligible","No, I will not vote but I am eligible",Donald Trump,Moderate,Full-time employed,The United States,Male,West,Not Hispanic,Asian (Chinese),"$75,000 to $99,999",Some college or associate degree,CA,CA27,30,Disagree,Agree,30-44 year olds,1,0,Asian
Some of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Moderate,Unemployed or temporarily on layoff,The United States,Female,Midwest,Not Hispanic,White,"Less than $14,999",Didn't graduate from high school,MN,MN06,33,Agree,Not Asked,30-44 year olds,0,1,White
Most of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Moderate,Self-employed,The United States,Male,Northeast,Not Hispanic,White,"$150,000 and over",Bachelor's degree or higher,NY,NY12,38,Agree,Not Asked,30-44 year olds,1,0,White
Some of the time,Registered,"Did not vote, but was eligible","Yes, I will vote",Joe Biden,Moderate,Full-time employed,The United States,Male,West,Not Hispanic,Asian (Asian Indian),"$55,000 to $74,999",Bachelor's degree or higher,CA,CA14,26,Agree,Not Asked,18-29 year olds,0,1,Asian
Most of the time,Registered,Hillary Clinton,"Yes, I will vote",I am not sure/don't know,Conservative,Part-time employed,Another country,Male,West,Mexican,White,"Less than $14,999",Some college or associate degree,CA,CA30,52,Agree,Not Asked,45-64 year olds,0,0,White
Most of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Moderate,Self-employed,The United States,Male,South,Mexican,White,"$55,000 to $74,999",Some college or associate degree,LA,LA03,36,Agree,Not Asked,30-44 year olds,0,1,White
Only now and then,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Not Sure,Unemployed or temporarily on layoff,The United States,Male,South,Not Hispanic,White,"$25,000 to $34,999",Some college or associate degree,LA,LA01,50,Agree,Not Asked,45-64 year olds,0,1,White
Most of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Conservative,Part-time employed,The United States,Male,Northeast,Mexican,Some other race,"$45,000 to $54,999",Didn't graduate from high school,NY,NY16,21,Agree,Not Asked,18-29 year olds,1,0,Other
Most of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Very Liberal,Part-time employed,The United States,Female,Northeast,Not Hispanic,White,"$35,000 to $44,999",Didn't graduate from high school,CT,CT05,65,Agree,Agree,65 years and older,0,1,White
