interest,registration,vote_2016,vote_intention,vote_2020,ideo5,employment,foreign_born,gender,census_region,hispanic,race_ethnicity,household_income,education,state,congress_district,age,health_subsidies,medicare_for_all,age_group,vote_trump,vote_Biden,race
Some of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Conservative,Retired,The United States,Male,Midwest,Not Hispanic,White,"$75,000 to $99,999",Some college or associate degree,OH,OH04,70,Agree,Not Asked,65 years and older,1,0,White
Most of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Moderate,Full-time employed,The United States,Female,Midwest,Not Hispanic,White,"$75,000 to $99,999",Bachelor's degree or higher,OH,OH14,54,Not sure,Not Asked,45-64 year olds,0,1,White
Most of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Very Liberal,Retired,The United States,Male,West,Not Hispanic,White,NA,Some college or associate degree,CA,CA36,72,Agree,Not Asked,65 years and older,0,1,White
Hardly at all,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Not Sure,Unemployed or temporarily on layoff,The United States,Female,South,Not Hispanic,White,"$15,000 to $24,999",Didn't graduate from high school,FL,FL06,40,Agree,Not Asked,30-44 year olds,1,0,White
Most of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Liberal,Retired,The United States,Female,South,Not Hispanic,"Black, or African American","$55,000 to $74,999",Bachelor's degree or higher,NC,NC12,69,Agree,Not Asked,65 years and older,0,1,Black
Some of the time,Registered,Someone else:,"Yes, I will vote",Joe Biden,Moderate,Full-time employed,The United States,Male,South,Not Hispanic,White,"$150,000 and over",Bachelor's degree or higher,TX,,37,Disagree,Not Asked,30-44 year olds,0,1,White
Most of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Very Liberal,Full-time employed,The United States,Female,South,Not Hispanic,White,"$150,000 and over",NA,FL,FL23,36,Agree,Not Asked,30-44 year olds,0,1,White
Some of the time,Registered,Hillary Clinton,Not sure,I am not sure/don't know,Liberal,Unemployed or temporarily on layoff,The United States,Female,Northeast,Not Hispanic,White,"$55,000 to $74,999",Some college or associate degree,NY,NY12,54,Agree,Not Sure,45-64 year olds,0,0,White
Some of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Very Liberal,Full-time employed,The United States,Female,South,Not Hispanic,White,"$75,000 to $99,999",Bachelor's degree or higher,TX,TX10,40,Agree,Not Asked,30-44 year olds,0,1,White
Most of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Liberal,Part-time employed,The United States,Female,Northeast,Not Hispanic,White,"$75,000 to $99,999",Bachelor's degree or higher,NJ,NJ07,41,Agree,Not Asked,30-44 year olds,0,1,White
Hardly at all,Not registered,"Did not vote, but was eligible",Not sure,I am not sure/don't know,Not Sure,Homemaker,The United States,Female,South,Not Hispanic,White,"Less than $14,999",Didn't graduate from high school,AR,AR03,57,Agree,Not Asked,45-64 year olds,0,0,White
Some of the time,Not registered,"Did not vote, but was eligible",Not sure,I am not sure/don't know,Very Conservative,Retired,The United States,Female,South,Not Hispanic,White,"Less than $14,999",Didn't graduate from high school,OK,OK02,64,Agree,Agree,45-64 year olds,0,0,White
Some of the time,Not registered,"Did not vote, but was eligible",Not sure,Someone else,Liberal,Homemaker,The United States,Female,West,Not Hispanic,White,"$75,000 to $99,999",Didn't graduate from high school,NV,NV04,39,Agree,Not Asked,30-44 year olds,0,0,White
Most of the time,Registered,Was not eligible to vote,"Yes, I will vote",Joe Biden,Liberal,Student,The United States,Female,South,Not Hispanic,White,NA,Some college or associate degree,FL,FL08,19,Not sure,Agree,18-29 year olds,0,1,White
Some of the time,Registered,Was not eligible to vote,"Yes, I will vote",I am not sure/don't know,Not Sure,Full-time employed,The United States,Female,South,Not Hispanic,White,"$45,000 to $54,999",Some college or associate degree,FL,FL17,50,Agree,Not Asked,45-64 year olds,0,0,White
Most of the time,Registered,Jill Stein,"Yes, I will vote",Someone else,Very Liberal,Full-time employed,The United States,Female,South,Not Hispanic,Asian (Asian Indian),"$55,000 to $74,999",Bachelor's degree or higher,TX,TX21,26,Agree,Agree,18-29 year olds,0,0,Asian
Some of the time,Not registered,"Did not vote, but was eligible","Yes, I will vote",Joe Biden,Moderate,Homemaker,The United States,Female,West,Not Hispanic,White,"$15,000 to $24,999",Didn't graduate from high school,CA,CA36,30,Agree,Not Asked,30-44 year olds,0,1,White
Most of the time,Registered,Gary Johnson,"Yes, I will vote",Someone else,Moderate,Full-time employed,The United States,Female,Northeast,Not Hispanic,White,"$55,000 to $74,999",Bachelor's degree or higher,NY,NY24,51,Not sure,Not Sure,45-64 year olds,0,0,White
Only now and then,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Very Conservative,Retired,The United States,Female,West,Not Hispanic,White,"Less than $14,999",Some college or associate degree,OR,OR02,72,Agree,Not Asked,65 years and older,1,0,White
Most of the time,Registered,"Did not vote, but was eligible","Yes, I will vote",Donald Trump,Very Conservative,Homemaker,The United States,Female,Northeast,Not Hispanic,White,"$25,000 to $34,999",Bachelor's degree or higher,PA,PA07,55,Disagree,Disagree,45-64 year olds,1,0,White
Most of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Moderate,Full-time employed,The United States,Female,Northeast,Not Hispanic,"Black, or African American","$100,000 to $149,999",Bachelor's degree or higher,PA,PA03,80,Agree,Not Sure,65 years and older,0,1,Black
Some of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Liberal,Retired,The United States,Female,South,Not Hispanic,White,"$75,000 to $99,999",Some college or associate degree,NC,NC02,66,Agree,Not Asked,65 years and older,0,1,White
Most of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Moderate,Full-time employed,The United States,Female,South,Not Hispanic,White,"$35,000 to $44,999",Some college or associate degree,TX,TX31,40,Agree,Not Asked,30-44 year olds,1,0,White
Some of the time,Registered,Donald Trump,"Yes, I will vote",I am not sure/don't know,Moderate,Full-time employed,The United States,Female,West,Not Hispanic,White,NA,Didn't graduate from high school,CA,,23,Not sure,Not Sure,18-29 year olds,0,0,White
Some of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Moderate,Full-time employed,The United States,Male,South,Not Hispanic,Asian (Vietnamese),"$75,000 to $99,999",Bachelor's degree or higher,VA,VA09,31,Agree,Not Asked,30-44 year olds,1,0,Asian
Most of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Conservative,Retired,The United States,Male,Midwest,Not Hispanic,White,"$75,000 to $99,999",Bachelor's degree or higher,OH,OH05,69,Agree,Not Asked,65 years and older,1,0,White
Some of the time,Registered,Donald Trump,"Yes, I will vote",Joe Biden,Moderate,Full-time employed,The United States,Female,West,Not Hispanic,Asian (Chinese),"$100,000 to $149,999",Some college or associate degree,CA,CA17,31,Agree,Not Asked,30-44 year olds,0,1,Asian
Most of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Moderate,Full-time employed,The United States,Female,Midwest,Not Hispanic,White,"$75,000 to $99,999",Bachelor's degree or higher,IL,IL11,51,Agree,Not Asked,45-64 year olds,0,1,White
Most of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Conservative,Retired,The United States,Female,South,Not Hispanic,White,"$100,000 to $149,999",Some college or associate degree,NC,NC03,78,Agree,Not Asked,65 years and older,1,0,White
